,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CallDurationMinutes
18,49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,1,169,2,failure,12:42:54,12:50:25,7.0
19,50,blue-collar,married,primary,0,82,0,0,telephone,5,apr,1,-1,0,none,10:34:08,10:41:44,7.0
20,57,blue-collar,married,secondary,0,773,1,1,none,18,jun,8,-1,0,none,09:05:50,09:07:27,1.0
21,80,retired,married,secondary,0,8304,0,0,telephone,8,sep,3,91,13,success,17:37:41,17:47:47,10.0
22,31,management,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,none,14:28:54,14:32:32,3.0
23,63,retired,married,secondary,0,2896,0,0,cellular,1,jul,1,119,2,success,15:37:19,15:42:23,5.0
24,60,technician,married,secondary,0,824,1,0,cellular,9,feb,1,558,7,other,16:30:52,16:32:59,2.0
25,29,management,married,tertiary,0,900,0,0,cellular,17,jul,2,-1,0,none,17:06:47,17:11:22,4.0
26,54,management,married,primary,0,3859,0,1,cellular,20,nov,3,-1,0,none,10:09:02,10:10:46,1.0
27,45,management,divorced,,0,0,0,0,cellular,21,apr,3,-1,0,none,12:33:22,12:38:00,4.0
28,34,services,married,secondary,0,-62,1,0,none,16,jun,3,-1,0,none,13:50:40,13:52:29,1.0
29,42,blue-collar,married,primary,0,832,0,0,none,20,jun,14,-1,0,none,10:36:52,10:37:05,0.0
30,54,technician,married,secondary,0,0,0,0,telephone,30,apr,3,84,3,success,11:49:24,12:02:10,12.0
31,32,admin.,single,secondary,0,6981,1,0,cellular,2,jun,1,194,3,failure,10:23:34,10:26:08,2.0
32,57,retired,single,tertiary,0,842,0,0,cellular,13,aug,3,-1,0,none,10:56:13,11:00:57,4.0
33,36,management,divorced,tertiary,0,1057,0,0,cellular,5,feb,2,-1,0,none,15:36:06,15:42:29,6.0
34,34,blue-collar,single,secondary,0,1698,1,0,none,27,may,7,-1,0,none,13:48:54,13:49:33,0.0
35,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,none,14:50:44,14:59:10,8.0
36,31,blue-collar,married,secondary,0,664,1,1,none,21,may,3,-1,0,none,11:03:37,11:20:04,16.0
37,33,admin.,married,secondary,0,0,1,0,cellular,30,jul,5,-1,0,none,15:55:55,15:56:36,0.0
38,41,blue-collar,divorced,primary,0,138,1,0,cellular,18,jul,3,-1,0,none,13:13:21,13:24:01,10.0
39,35,admin.,married,secondary,0,216,1,1,cellular,17,nov,3,-1,0,none,15:33:58,15:35:08,1.0
40,32,management,married,secondary,0,3935,1,0,none,29,may,2,-1,0,none,17:09:51,17:12:00,2.0
41,40,blue-collar,married,secondary,0,327,1,0,none,29,may,1,-1,0,none,11:29:28,11:31:42,2.0
42,35,management,single,tertiary,0,2707,0,0,cellular,5,feb,1,-1,0,none,09:23:59,09:35:38,11.0
43,40,admin.,married,secondary,0,2574,1,0,cellular,15,may,1,176,1,failure,10:50:44,10:57:56,7.0
44,60,management,married,tertiary,0,70,0,0,cellular,21,aug,1,-1,0,none,11:15:10,11:15:46,0.0
45,35,blue-collar,single,secondary,0,0,1,0,none,3,jun,3,-1,0,none,16:20:13,16:22:06,1.0
46,42,management,divorced,secondary,0,283,1,0,cellular,23,jul,1,-1,0,none,12:00:12,12:12:53,12.0
47,79,retired,divorced,primary,0,79,0,0,cellular,9,oct,2,-1,0,none,16:23:38,16:42:04,18.0
48,46,admin.,single,secondary,0,13,0,0,none,2,jun,4,-1,0,none,17:02:45,17:03:56,1.0
49,33,technician,divorced,secondary,0,464,0,0,cellular,4,feb,4,-1,0,none,09:31:15,09:34:42,3.0
50,54,services,divorced,,0,0,1,0,cellular,16,apr,1,-1,0,none,16:18:17,16:22:40,4.0
51,46,housemaid,married,primary,0,17,0,0,none,17,jun,1,-1,0,none,10:33:05,10:34:17,1.0
52,47,self-employed,married,secondary,0,4420,1,1,cellular,20,nov,1,-1,0,none,13:17:32,13:25:06,7.0
53,78,retired,married,,0,3208,0,0,telephone,20,may,3,-1,0,none,16:00:27,16:06:18,5.0
54,31,blue-collar,married,secondary,0,326,0,1,cellular,29,jan,1,-1,0,none,09:59:19,10:01:23,2.0
55,39,services,married,secondary,0,52,0,0,telephone,2,feb,3,-1,0,none,16:04:36,16:28:16,23.0
56,31,admin.,married,secondary,0,457,1,0,cellular,21,nov,1,171,5,failure,14:28:33,14:33:16,4.0
57,46,entrepreneur,divorced,secondary,0,1187,0,1,cellular,13,oct,1,327,1,failure,17:42:06,17:43:38,1.0
58,34,management,single,,0,6013,1,0,cellular,18,may,1,-1,0,none,13:52:00,14:02:12,10.0
59,52,unemployed,married,secondary,0,5091,0,0,cellular,26,may,1,-1,0,none,12:25:24,12:30:33,5.0
60,36,management,divorced,tertiary,0,0,0,0,cellular,28,aug,4,-1,0,none,15:13:44,15:15:05,1.0
61,39,entrepreneur,married,secondary,0,11887,0,0,cellular,18,nov,2,-1,0,none,16:56:27,17:16:08,19.0
62,18,student,single,primary,0,608,0,0,cellular,12,aug,1,-1,0,none,13:30:30,13:34:57,4.0
63,60,services,married,secondary,0,-46,0,0,none,23,may,2,-1,0,none,16:36:39,16:38:51,2.0
64,36,services,single,secondary,0,0,1,0,cellular,15,may,4,-1,0,none,09:43:23,10:00:05,16.0
65,57,management,married,tertiary,0,473,0,0,cellular,1,jun,1,-1,0,none,14:55:01,14:59:56,4.0
66,28,blue-collar,single,secondary,0,1955,0,0,cellular,29,jan,1,-1,0,none,12:28:55,12:29:20,0.0
67,30,management,married,tertiary,0,860,1,0,cellular,20,apr,1,-1,0,none,10:53:09,10:56:14,3.0
68,41,blue-collar,married,secondary,0,2689,1,0,cellular,15,apr,1,-1,0,none,17:24:03,17:26:18,2.0
69,58,management,married,tertiary,0,3768,1,0,none,18,jun,1,-1,0,none,17:14:32,17:19:48,5.0
70,23,housemaid,married,tertiary,0,66,1,0,cellular,7,may,2,-1,0,none,09:25:35,09:48:46,23.0
71,29,admin.,married,secondary,0,494,1,0,none,26,may,2,-1,0,none,14:51:53,14:57:34,5.0
72,25,technician,single,secondary,0,1298,0,0,cellular,2,sep,7,94,2,other,14:02:27,14:05:53,3.0
73,39,blue-collar,married,secondary,0,0,1,0,none,29,may,3,-1,0,none,13:50:30,13:53:59,3.0
74,45,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,4,-1,0,none,17:29:40,17:30:38,0.0
75,55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,1,183,1,failure,13:29:13,13:32:02,2.0
76,32,technician,married,tertiary,0,903,1,0,cellular,23,jun,1,320,1,other,11:55:36,11:58:37,3.0
77,36,management,married,tertiary,0,722,1,0,none,30,may,1,-1,0,none,13:20:59,13:26:11,5.0
78,34,management,single,tertiary,0,11350,1,0,cellular,15,may,1,176,1,failure,15:14:20,15:16:53,2.0
79,39,technician,single,secondary,0,556,1,0,none,29,may,1,-1,0,none,15:54:02,15:59:24,5.0
80,49,admin.,single,secondary,0,716,1,0,none,15,may,3,-1,0,none,11:50:19,12:11:16,20.0
81,37,technician,married,tertiary,0,143,0,0,cellular,27,aug,6,-1,0,none,09:17:05,09:18:02,0.0
82,47,blue-collar,married,secondary,0,802,1,1,cellular,12,may,2,-1,0,none,14:56:02,15:00:51,4.0
83,49,retired,single,primary,0,25824,0,0,none,17,jun,1,-1,0,none,10:54:42,10:56:16,1.0
84,49,unemployed,married,primary,0,518,0,0,cellular,29,jan,2,-1,0,none,09:49:16,10:21:13,31.0
85,34,admin.,divorced,secondary,0,0,0,0,cellular,10,jul,1,-1,0,none,17:50:22,17:54:50,4.0
86,40,blue-collar,married,secondary,1,-94,1,1,none,7,may,1,-1,0,none,11:24:19,11:28:06,3.0
87,33,services,married,secondary,0,210,1,0,cellular,13,may,2,-1,0,none,11:48:53,12:09:00,20.0
88,40,admin.,single,secondary,0,60,1,0,cellular,15,may,3,352,6,other,16:43:03,16:50:43,7.0
89,41,entrepreneur,single,secondary,0,663,0,0,cellular,24,jul,1,-1,0,none,10:52:25,11:12:29,20.0
90,56,management,married,tertiary,0,830,1,1,none,6,may,1,-1,0,none,17:54:01,18:14:02,20.0
91,33,blue-collar,single,secondary,0,-147,1,0,none,30,may,2,-1,0,none,16:00:27,16:11:19,10.0
92,43,blue-collar,divorced,primary,0,6,1,0,none,27,may,4,-1,0,none,12:01:04,12:02:56,1.0
93,46,services,divorced,secondary,0,1263,1,0,telephone,21,nov,2,-1,0,none,14:35:34,14:39:14,3.0
94,39,blue-collar,married,secondary,0,293,1,0,none,23,may,3,-1,0,none,14:48:50,14:51:30,2.0
95,44,management,married,tertiary,0,446,0,0,cellular,25,jul,12,-1,0,none,09:29:22,09:30:25,1.0
96,48,management,divorced,tertiary,0,657,0,1,cellular,29,jan,2,-1,0,none,16:59:18,17:03:29,4.0
97,39,blue-collar,single,tertiary,0,48,0,0,cellular,3,jun,1,-1,0,none,14:55:41,15:04:40,8.0
98,46,blue-collar,married,primary,0,3969,0,0,telephone,7,jul,5,-1,0,none,12:42:06,12:42:52,0.0
99,19,student,single,primary,0,103,0,0,cellular,18,jan,2,95,4,failure,12:07:08,12:10:05,2.0
100,36,management,married,tertiary,0,753,0,0,cellular,16,apr,4,-1,0,none,14:01:15,14:02:31,1.0
101,43,technician,married,secondary,0,3285,1,0,none,13,may,2,-1,0,none,11:00:26,11:29:07,28.0
102,46,technician,married,secondary,0,9299,0,0,cellular,19,jul,1,276,2,other,15:58:44,16:17:52,19.0
103,56,retired,married,primary,0,9367,0,0,cellular,4,may,2,-1,0,none,15:33:30,15:43:47,10.0
104,57,management,married,secondary,0,7162,0,0,cellular,17,nov,1,-1,0,none,09:04:38,09:06:01,1.0
105,33,technician,married,tertiary,0,1699,0,0,cellular,4,aug,1,-1,0,none,17:40:32,17:50:32,10.0
106,41,admin.,married,secondary,0,437,1,0,cellular,2,feb,1,-1,0,none,15:36:46,15:39:04,2.0
107,31,management,married,tertiary,0,69,0,0,cellular,20,aug,2,-1,0,none,10:53:20,10:56:35,3.0
108,52,management,married,tertiary,0,388,0,0,cellular,25,may,1,-1,0,none,10:43:50,10:48:22,4.0
109,48,blue-collar,single,secondary,0,339,0,1,telephone,14,jul,4,-1,0,none,09:09:36,09:11:39,2.0
110,55,blue-collar,married,secondary,0,49,1,0,cellular,7,jul,4,-1,0,none,13:53:23,14:01:37,8.0
111,50,technician,married,secondary,0,3370,0,0,cellular,2,jun,2,-1,0,none,09:39:02,09:41:42,2.0
112,33,blue-collar,single,secondary,0,-366,1,0,none,28,may,4,-1,0,none,12:21:46,12:23:07,1.0
113,31,management,married,tertiary,0,2667,1,0,cellular,2,mar,2,-1,0,none,15:56:53,15:58:06,1.0
114,33,admin.,married,tertiary,0,899,1,0,none,26,may,3,-1,0,none,13:13:32,13:16:11,2.0
115,31,management,married,tertiary,0,1331,0,0,cellular,30,apr,1,86,3,success,10:34:28,10:39:25,4.0
116,37,services,married,secondary,0,4151,1,1,cellular,30,jul,4,-1,0,none,16:23:41,16:32:44,9.0
117,62,retired,married,secondary,0,569,0,0,cellular,4,feb,5,184,1,success,17:49:48,17:51:22,1.0
118,33,management,married,tertiary,0,1514,0,0,cellular,10,aug,1,728,2,failure,14:38:11,14:45:38,7.0
119,40,management,married,tertiary,1,0,0,0,cellular,28,jul,5,-1,0,none,13:33:23,13:36:08,2.0
120,37,technician,single,tertiary,0,6101,0,0,cellular,6,feb,1,-1,0,none,11:44:15,11:46:36,2.0
121,46,management,divorced,tertiary,0,461,0,0,cellular,30,dec,2,-1,0,none,10:08:32,10:14:41,6.0
122,64,entrepreneur,married,tertiary,0,2331,0,0,telephone,9,nov,1,-1,0,none,13:54:34,13:57:55,3.0
123,43,unemployed,married,primary,0,519,0,0,none,20,jun,2,-1,0,none,14:40:48,14:57:01,16.0
124,57,blue-collar,married,primary,0,3109,0,0,cellular,15,sep,2,105,2,success,16:20:13,16:22:00,1.0
125,58,retired,divorced,primary,0,11,0,1,cellular,10,jul,5,-1,0,none,09:10:06,09:12:47,2.0
126,32,technician,divorced,tertiary,0,53,0,0,cellular,22,aug,2,-1,0,none,15:18:48,15:29:59,11.0
127,43,blue-collar,married,secondary,0,699,1,1,cellular,20,nov,2,122,2,other,12:28:18,12:49:16,20.0
128,30,student,single,tertiary,0,3300,0,0,cellular,21,nov,1,-1,0,none,09:39:08,10:05:19,26.0
129,45,admin.,married,secondary,0,251,1,0,cellular,19,aug,2,-1,0,none,12:58:37,13:00:19,1.0
130,56,management,married,tertiary,0,318,0,1,telephone,9,jul,3,-1,0,none,09:00:50,09:04:56,4.0
131,44,management,married,,0,2724,0,0,cellular,28,dec,1,-1,0,none,14:48:36,15:03:29,14.0
132,61,management,married,tertiary,0,5157,0,0,cellular,13,mar,1,-1,0,none,14:49:47,14:56:59,7.0
133,37,technician,divorced,tertiary,0,1762,1,0,cellular,16,apr,1,317,1,failure,15:20:49,15:25:58,5.0
134,56,retired,married,secondary,0,343,0,1,cellular,9,jul,1,-1,0,none,12:13:08,12:14:25,1.0
135,46,admin.,married,secondary,0,368,0,0,cellular,20,aug,1,90,4,other,13:37:21,13:42:14,4.0
136,39,management,divorced,tertiary,0,1968,0,0,cellular,21,nov,1,-1,0,none,14:54:56,15:05:44,10.0
137,27,services,single,secondary,0,302,0,0,cellular,3,jul,1,-1,0,none,11:43:28,11:46:51,3.0
138,33,blue-collar,single,primary,0,60,1,0,cellular,14,may,1,290,2,failure,14:36:30,14:37:44,1.0
139,52,technician,married,tertiary,0,0,0,0,cellular,9,aug,3,94,4,success,16:32:21,16:34:46,2.0
140,45,blue-collar,married,secondary,0,3092,1,1,cellular,12,may,2,-1,0,none,11:53:00,11:56:00,3.0
141,30,unemployed,single,secondary,0,1058,0,0,cellular,4,feb,1,-1,0,none,10:40:58,10:49:33,8.0
142,46,services,married,secondary,0,53,0,1,cellular,28,jul,3,-1,0,none,14:48:33,14:49:04,0.0
143,32,services,single,secondary,0,-402,1,0,cellular,17,apr,1,-1,0,none,14:38:19,14:40:34,2.0
144,62,entrepreneur,married,secondary,0,3904,0,0,telephone,29,jan,2,-1,0,none,15:27:45,15:34:28,6.0
145,24,student,single,secondary,0,1123,0,0,cellular,13,jul,1,412,1,other,11:54:26,12:02:21,7.0
146,47,management,single,tertiary,0,159,0,0,telephone,29,oct,3,155,3,other,16:29:33,16:33:13,3.0
147,32,blue-collar,single,secondary,0,5,1,1,none,8,may,1,-1,0,none,13:07:31,13:09:45,2.0
148,38,blue-collar,married,primary,0,3289,0,0,none,9,jun,2,-1,0,none,13:51:31,14:00:44,9.0
149,36,technician,single,tertiary,0,391,1,0,cellular,15,may,1,350,8,failure,10:01:23,10:04:28,3.0
150,57,management,divorced,,0,854,0,0,cellular,27,aug,4,92,1,failure,10:43:06,10:54:46,11.0
151,73,retired,divorced,secondary,0,7111,1,0,cellular,12,oct,1,-1,0,none,10:02:40,10:05:06,2.0
152,55,technician,divorced,tertiary,0,0,1,0,none,30,may,1,-1,0,none,12:47:28,12:51:22,3.0
153,57,blue-collar,married,primary,0,3109,0,0,cellular,2,jun,2,-1,0,none,15:48:27,15:56:29,8.0
154,25,unemployed,single,primary,0,129,0,0,cellular,12,apr,3,-1,0,none,09:58:20,10:01:16,2.0
155,62,retired,married,secondary,0,569,0,0,cellular,4,aug,1,1,8,success,17:08:06,17:12:54,4.0
156,45,technician,married,secondary,0,4466,1,0,none,3,jun,1,-1,0,none,13:59:32,14:01:22,1.0
157,56,blue-collar,married,secondary,0,1521,1,1,cellular,21,nov,2,179,3,other,17:24:04,17:24:23,0.0
158,33,management,single,tertiary,0,8038,1,0,cellular,19,nov,1,-1,0,none,09:40:58,09:41:58,1.0
159,45,blue-collar,single,primary,0,116,0,0,none,13,apr,1,-1,0,none,13:49:02,13:51:04,2.0
160,63,blue-collar,married,secondary,0,641,0,0,cellular,27,may,2,-1,0,none,17:50:43,17:57:40,6.0
161,57,retired,married,secondary,0,2020,0,0,none,19,jun,4,-1,0,none,16:58:34,17:00:07,1.0
162,60,retired,married,secondary,0,208,0,0,cellular,20,aug,4,-1,0,none,09:16:18,09:17:28,1.0
163,61,self-employed,divorced,tertiary,0,52587,0,0,cellular,15,feb,3,189,1,success,16:53:39,17:00:13,6.0
164,56,blue-collar,married,secondary,0,2561,0,0,none,20,jun,6,-1,0,none,13:03:46,13:03:59,0.0
165,26,blue-collar,single,secondary,0,82,1,0,none,9,may,1,-1,0,none,10:04:16,10:15:10,10.0
166,58,unemployed,divorced,secondary,0,729,0,1,cellular,9,feb,2,-1,0,none,17:48:25,17:49:25,1.0
167,46,services,married,secondary,0,273,0,0,cellular,22,aug,2,-1,0,none,10:21:06,10:30:31,9.0
168,28,management,single,secondary,0,2840,0,0,cellular,20,apr,5,-1,0,none,10:14:42,10:18:29,3.0
169,57,technician,married,secondary,0,253,0,1,none,3,jul,3,-1,0,none,16:38:41,16:42:31,3.0
170,36,technician,single,secondary,0,2921,0,0,telephone,31,jul,7,-1,0,none,10:46:54,10:47:49,0.0
171,44,blue-collar,married,secondary,0,16178,1,0,cellular,21,nov,1,-1,0,none,13:55:29,14:00:26,4.0
172,54,services,divorced,secondary,0,0,0,0,cellular,18,mar,1,290,3,success,09:10:43,09:16:45,6.0
173,38,technician,married,secondary,0,557,1,0,cellular,16,nov,4,-1,0,none,11:41:55,12:07:51,25.0
174,34,management,single,tertiary,0,4348,1,0,cellular,28,aug,8,-1,0,none,09:34:44,09:40:57,6.0
175,27,services,single,secondary,0,683,1,0,none,9,may,3,-1,0,none,11:14:40,11:15:24,0.0
176,29,self-employed,single,tertiary,0,1579,0,0,cellular,13,oct,1,92,5,success,10:19:56,10:23:06,3.0
177,31,blue-collar,married,tertiary,0,2827,1,0,none,8,may,3,-1,0,none,09:18:31,09:22:29,3.0
178,50,technician,divorced,secondary,0,0,0,0,cellular,29,sep,1,120,2,failure,09:30:25,09:33:04,2.0
179,60,retired,married,tertiary,0,108,0,0,cellular,26,aug,1,-1,0,none,11:56:00,12:06:24,10.0
180,32,services,married,secondary,0,243,1,1,none,6,may,1,-1,0,none,14:49:11,14:51:35,2.0
181,36,services,married,secondary,0,-27,1,1,cellular,7,jul,4,-1,0,none,12:12:43,12:15:14,2.0
182,45,admin.,married,secondary,0,205,0,0,cellular,4,may,1,90,2,success,17:21:58,17:31:10,9.0
183,40,technician,divorced,tertiary,0,0,0,0,none,17,jun,1,-1,0,none,11:05:32,11:14:14,8.0
184,38,technician,married,secondary,0,497,0,0,none,14,apr,1,-1,0,none,10:46:03,10:48:56,2.0
185,30,management,single,tertiary,0,985,1,0,cellular,25,oct,1,94,2,success,12:09:48,12:14:52,5.0
186,31,management,married,tertiary,0,3739,0,0,cellular,11,aug,3,-1,0,none,10:10:02,10:11:59,1.0
187,28,management,single,tertiary,0,6784,0,0,cellular,1,oct,1,115,3,other,14:02:32,14:10:54,8.0
188,49,blue-collar,divorced,primary,0,-9,1,1,none,5,may,1,-1,0,none,16:54:35,17:01:04,6.0
189,34,self-employed,married,tertiary,0,0,0,0,cellular,28,aug,11,-1,0,none,11:25:10,11:37:20,12.0
190,51,blue-collar,divorced,secondary,0,113,0,0,cellular,15,may,3,-1,0,none,09:38:11,09:39:22,1.0
191,35,unemployed,divorced,primary,0,118,0,0,none,20,jun,4,-1,0,none,16:57:51,16:58:03,0.0
192,41,student,single,secondary,0,595,1,0,none,18,sep,1,107,2,success,14:43:39,14:44:01,0.0
193,49,housemaid,married,primary,0,0,0,0,telephone,9,jul,1,-1,0,none,10:35:31,10:37:17,1.0
194,33,management,single,tertiary,0,3143,0,0,cellular,29,jun,2,-1,0,none,16:01:11,16:08:12,7.0
195,53,admin.,married,secondary,0,53,1,0,cellular,18,may,1,-1,0,none,11:51:17,11:57:44,6.0
196,45,management,married,tertiary,0,1447,1,1,cellular,7,jul,2,-1,0,none,17:49:12,17:56:53,7.0
197,36,self-employed,divorced,tertiary,0,6385,1,0,cellular,21,nov,2,-1,0,none,13:21:55,13:23:05,1.0
198,43,management,married,tertiary,0,3186,0,0,cellular,16,nov,1,88,1,failure,15:07:14,15:13:34,6.0
199,31,blue-collar,married,primary,0,290,1,0,cellular,15,may,1,291,3,failure,12:06:11,12:08:39,2.0
200,56,blue-collar,married,primary,0,8163,0,0,cellular,14,aug,4,-1,0,none,10:49:49,11:10:20,20.0
201,48,admin.,married,secondary,0,13551,0,0,none,11,jun,3,-1,0,none,09:23:19,09:24:48,1.0
202,40,technician,single,tertiary,0,431,0,0,cellular,7,jul,2,-1,0,none,17:11:55,17:14:55,3.0
203,60,admin.,married,secondary,0,711,0,0,cellular,12,aug,4,-1,0,none,11:28:17,11:34:12,5.0
204,45,admin.,married,secondary,0,0,0,0,cellular,14,aug,2,-1,0,none,09:28:25,09:30:18,1.0
205,45,technician,single,,0,7108,1,1,none,30,may,3,-1,0,none,13:22:02,13:42:14,20.0
206,55,technician,divorced,secondary,1,4,0,0,cellular,28,jan,1,-1,0,none,15:22:04,15:39:32,17.0
207,41,blue-collar,married,primary,0,3658,1,0,cellular,9,apr,1,330,1,failure,15:06:29,15:10:57,4.0
208,46,management,married,tertiary,0,699,0,0,cellular,30,apr,1,87,1,failure,13:49:36,14:05:46,16.0
209,41,entrepreneur,married,secondary,0,8491,1,0,cellular,18,nov,1,-1,0,none,11:27:47,11:43:16,15.0
210,51,admin.,married,secondary,0,423,1,1,cellular,16,jul,5,183,2,failure,09:05:35,09:06:59,1.0
211,55,technician,divorced,tertiary,0,0,0,0,cellular,17,nov,2,91,1,success,09:38:42,09:40:56,2.0
212,34,services,married,secondary,0,790,1,0,cellular,20,apr,2,350,1,failure,13:15:22,13:25:01,9.0
213,40,admin.,married,secondary,0,341,0,0,cellular,31,jul,5,-1,0,none,12:18:41,12:37:43,19.0
214,31,unemployed,single,secondary,0,582,1,0,cellular,5,jun,2,-1,0,none,14:53:34,15:02:42,9.0
215,32,management,single,tertiary,0,623,0,0,cellular,6,jul,3,194,2,failure,10:53:19,10:58:54,5.0
216,37,services,single,secondary,0,1045,0,0,cellular,4,feb,1,-1,0,none,13:33:29,13:38:30,5.0
217,31,services,married,secondary,0,0,1,0,cellular,29,jan,2,-1,0,none,16:39:03,16:42:47,3.0
218,56,retired,married,tertiary,0,281,0,0,cellular,3,mar,2,-1,0,none,17:26:47,17:28:23,1.0
219,26,blue-collar,single,primary,0,-295,1,0,cellular,6,may,1,-1,0,none,09:51:59,09:54:17,2.0
220,45,management,married,tertiary,0,160,0,0,cellular,10,nov,2,194,1,success,11:56:01,11:59:03,3.0
221,32,management,married,secondary,0,134,1,1,cellular,15,may,3,-1,0,none,11:52:39,12:01:31,8.0
222,41,management,married,tertiary,0,472,1,0,cellular,10,jul,1,-1,0,none,09:44:38,09:57:41,13.0
223,28,blue-collar,married,secondary,0,-95,1,0,none,13,may,1,-1,0,none,16:57:01,17:00:21,3.0
224,42,blue-collar,married,secondary,0,0,1,0,cellular,30,jan,2,-1,0,none,12:29:50,12:31:12,1.0
225,46,technician,married,secondary,0,179,0,1,none,18,jun,1,-1,0,none,17:06:35,17:08:44,2.0
226,55,retired,divorced,tertiary,0,0,0,0,cellular,18,may,1,370,1,success,14:07:10,14:17:26,10.0
227,26,student,single,tertiary,0,641,1,0,cellular,15,may,1,368,1,failure,17:04:03,17:04:58,0.0
228,29,management,single,tertiary,0,3041,1,0,cellular,8,may,3,-1,0,none,09:04:51,09:14:57,10.0
229,40,management,divorced,tertiary,0,502,1,0,cellular,3,feb,4,270,3,other,13:22:49,13:27:16,4.0
230,29,management,single,tertiary,0,2531,0,0,cellular,19,aug,1,-1,0,none,12:09:37,12:20:11,10.0
231,33,technician,married,secondary,0,218,1,1,cellular,10,aug,1,161,4,failure,15:57:04,15:59:46,2.0
232,43,technician,single,,0,11115,0,0,cellular,23,oct,1,74,2,success,15:38:46,15:46:42,7.0
233,31,technician,married,secondary,0,-119,1,0,cellular,18,may,5,-1,0,none,14:50:50,14:50:59,0.0
234,27,technician,single,secondary,0,158,0,0,none,1,jul,2,-1,0,none,13:09:51,13:20:41,10.0
235,40,entrepreneur,married,tertiary,0,70,0,0,cellular,20,nov,1,-1,0,none,14:24:29,14:25:26,0.0
236,58,admin.,married,secondary,0,3735,0,0,cellular,17,nov,2,-1,0,none,15:30:33,15:32:04,1.0
237,41,management,married,tertiary,0,8553,1,0,cellular,12,aug,12,-1,0,none,15:16:39,15:21:43,5.0
238,40,technician,married,secondary,0,84,1,0,cellular,8,aug,3,-1,0,none,17:26:28,17:28:27,1.0
239,41,technician,single,,0,942,0,0,cellular,27,oct,1,188,1,success,16:39:43,16:42:06,2.0
240,49,management,married,tertiary,0,68,1,1,none,19,may,3,-1,0,none,09:18:22,09:21:05,2.0
241,41,technician,married,secondary,0,459,1,0,none,19,may,1,-1,0,none,10:55:29,10:57:11,1.0
242,57,technician,married,secondary,0,1070,0,0,none,19,jun,1,-1,0,none,17:18:00,17:19:13,1.0
243,59,retired,married,primary,0,3400,1,0,cellular,5,aug,3,-1,0,none,15:07:17,15:15:52,8.0
244,48,blue-collar,married,secondary,0,1730,1,0,cellular,4,feb,1,178,2,failure,15:53:25,16:01:34,8.0
245,46,technician,married,secondary,0,6993,1,0,cellular,17,apr,3,148,1,success,09:30:56,09:36:22,5.0
246,44,blue-collar,married,,0,1529,1,0,cellular,30,apr,1,-1,0,none,17:15:15,17:21:02,5.0
247,48,management,divorced,tertiary,0,-547,0,0,cellular,21,nov,2,-1,0,none,11:33:59,11:38:34,4.0
