@relation knn

@attribute Marital numeric
@attribute Age numeric
@attribute Balance numeric
@attribute NoOfContacts numeric
@attribute CallDurationMinutes numeric

@data
1,43,3285,2,28
1,46,9299,1,19
1,56,9367,2,10
1,57,7162,1,1
1,33,1699,1,10
1,41,437,1,2
1,31,69,2,3
1,52,388,1,4
2,48,339,4,2
1,55,49,4,8
1,50,3370,2,2
2,33,-366,4,1
1,31,2667,2,1
1,33,899,3,2
1,31,1331,1,4
1,37,4151,4,9
1,62,569,5,1
1,33,1514,1,7
1,40,0,5,2
2,37,6101,1,2
0,46,461,2,6
1,64,2331,1,3
1,43,519,2,16
1,57,3109,2,1
0,58,11,5,2
0,32,53,2,11
1,43,699,2,20
2,30,3300,1,26
1,45,251,2,1
1,56,318,3,4
1,44,2724,1,14
1,61,5157,1,7
0,37,1762,1,5
1,56,343,1,1
1,46,368,1,4
0,39,1968,1,10
2,27,302,1,3
2,33,60,1,1
1,52,0,3,2
1,45,3092,2,3
2,30,1058,1,8
1,46,53,3,0
2,32,-402,1,2
1,62,3904,2,6
2,24,1123,1,7
2,47,159,3,3
2,32,5,1,2
1,38,3289,2,9
2,36,391,1,3
0,57,854,4,11
0,73,7111,1,2
0,55,0,1,3
1,57,3109,2,8
2,25,129,3,2
1,62,569,1,4
1,45,4466,1,1
1,56,1521,2,0
2,33,8038,1,1
2,45,116,1,2
1,63,641,2,6
1,57,2020,4,1
1,60,208,4,1
0,61,52587,3,6
1,56,2561,6,0
2,26,82,1,10
0,58,729,2,1
1,46,273,2,9
2,28,2840,5,3
1,57,253,3,3
2,36,2921,7,0
1,44,16178,1,4
0,54,0,1,6
1,38,557,4,25
2,34,4348,8,6
2,27,683,3,0
2,29,1579,1,3
1,31,2827,3,3
0,50,0,1,2
1,60,108,1,10
1,32,243,1,2
1,36,-27,4,2
1,45,205,1,9
0,40,0,1,8
1,38,497,1,2
2,30,985,1,5
1,31,3739,3,1
2,28,6784,1,8
0,49,-9,1,6
1,34,0,11,12
0,51,113,3,1
0,35,118,4,0
2,41,595,1,0
1,49,0,1,1
2,33,3143,2,7
1,53,53,1,6
1,45,1447,2,7
0,36,6385,2,1
1,43,3186,1,6
1,31,290,1,2
1,56,8163,4,20
1,48,13551,3,1
2,40,431,2,3
1,60,711,4,5
1,45,0,2,1
2,45,7108,3,20
0,55,4,1,17
1,41,3658,1,4
1,46,699,1,16
1,41,8491,1,15
1,51,423,5,1
0,55,0,2,2
1,34,790,2,9
1,40,341,5,19
2,31,582,2,9
2,32,623,3,5
2,37,1045,1,5
1,31,0,2,3
1,56,281,2,1
2,26,-295,1,2
1,45,160,2,3
1,32,134,3,8
1,41,472,1,13
1,28,-95,1,3
1,42,0,2,1
1,46,179,1,2
0,55,0,1,10
2,26,641,1,0
2,29,3041,3,10
0,40,502,4,4
2,29,2531,1,10
1,33,218,1,2
2,43,11115,1,7
1,31,-119,5,0
2,27,158,2,10
1,40,70,1,0
1,58,3735,2,1
1,41,8553,12,5
1,40,84,3,1
2,41,942,1,2
1,49,68,3,2
1,41,459,1,1
1,57,1070,1,1
1,59,3400,3,8
1,48,1730,1,8
1,46,6993,3,5
1,44,1529,1,5
0,48,-547,2,4
1,33,168,2,3
0,33,891,2,6
2,37,-119,11,6
1,39,1181,2,10
1,39,2630,5,10
2,24,2696,2,1
1,58,0,25,0
0,46,-130,2,2
2,39,-244,2,2
1,36,711,2,2
1,43,184,11,16
2,35,1830,2,2
1,48,649,2,2
1,48,480,1,6
1,41,720,1,10
1,34,-33,1,16
1,32,762,11,3
1,51,1415,3,2
1,47,14,1,2
1,44,742,5,1
1,66,0,1,12
1,61,5,2,9
1,41,114,3,1
1,38,3249,1,6
1,54,440,1,1
0,48,201,2,6
2,44,1090,4,3
1,50,-584,2,1
1,55,2055,4,17
1,34,697,1,2
0,50,120,1,1
1,34,1,1,6
1,29,76,3,3
1,46,-333,2,9
0,58,1382,1,11
1,33,804,1,4
2,33,87,1,16
0,60,514,2,3
1,45,0,2,3
2,31,4951,3,4
1,47,1160,2,1
1,39,0,3,1
2,32,799,6,34
1,52,105,1,1
1,30,166,1,0
1,37,903,1,2
1,47,0,2,0
2,34,64,2,1
2,20,457,1,3
2,25,42,1,2
2,25,220,1,1
2,23,279,1,14
0,48,275,1,0
1,35,0,2,7
2,30,2344,2,5
1,35,8,3,1
1,37,3737,1,3
2,35,147,2,2
1,44,1631,2,5
2,30,1779,1,3
2,32,933,4,2
2,19,394,3,5
1,58,1227,1,4
1,29,805,1,1
2,25,722,2,10
1,40,0,1,4
2,31,46,6,5
0,47,555,1,7
0,59,1,1,10
1,42,3,1,0
0,59,17056,2,7
2,38,1255,1,2
1,33,386,1,4
2,30,0,2,0
1,31,94,2,9
0,52,725,3,0
1,47,1568,1,6
2,27,152,3,1
1,56,28,1,3
2,31,438,1,2
1,77,29340,1,4
2,29,-105,3,0
2,27,535,3,4
1,44,797,2,4
1,61,985,6,16
0,46,1297,3,11
2,26,-46,7,6
1,53,2240,2,4
2,20,829,2,4
2,29,110,1,17
1,38,47,5,4
2,35,885,6,10
0,46,0,3,17
1,32,536,2,3
1,52,137,2,3
2,26,170,1,8
0,33,-297,2,2
2,30,53,5,5
2,48,1245,1,2
1,36,480,1,3
2,35,1750,3,5
1,35,5,2,2
1,31,4182,2,5
0,39,241,2,1
1,33,49,7,2
1,57,0,4,1
2,30,458,7,0
2,40,1101,1,3
1,36,9,3,1
2,36,49,1,6
1,32,625,1,5
1,37,1110,11,13
1,44,138,3,4
2,27,3,1,2
1,50,180,2,1
2,34,5086,4,3
1,57,1052,4,3
1,40,0,34,1
2,32,322,3,3
2,33,647,1,2
0,49,10613,1,20
0,54,136,4,2
2,34,612,1,1
2,28,434,1,4
2,32,1168,1,6
0,41,4,1,3
2,23,480,2,12
1,64,4787,1,6
1,38,2685,12,0
2,26,187,2,3
1,38,216,4,2
1,53,-363,2,3
0,40,93,2,2
1,39,3870,1,1
1,62,298,2,11
1,35,249,8,3
2,32,0,2,7
1,57,1216,6,4
1,35,1265,5,5
2,45,143,1,3
2,30,0,1,11
1,36,4721,3,2
2,30,5909,2,7
1,33,1737,2,3
1,60,1262,1,16
1,48,1849,3,5
1,24,448,1,5
0,53,0,2,1
1,32,221,4,3
2,26,157,2,1
0,34,882,1,0
2,31,3950,1,8
1,38,814,1,5
0,51,-19,1,13
1,36,0,3,5
2,24,674,1,4
0,27,451,1,10
1,77,992,2,2
2,31,0,2,4
0,45,608,3,18
1,33,387,2,5
1,40,4775,1,3
2,35,62,4,3
1,51,2704,1,7
1,41,-75,1,1
2,35,-324,11,16
0,71,1729,2,7
0,55,387,1,15
0,42,9,1,8
1,29,0,2,11
2,33,129,1,8
2,32,678,1,26
1,51,19313,1,0
2,32,2551,3,10
1,64,2923,1,2
1,32,0,3,2
0,54,2062,2,7
1,38,119,4,9
2,26,1231,1,3
0,58,108,4,3
1,33,1047,4,8
2,29,19,1,4
1,31,33,2,4
2,35,204,1,3
1,45,0,3,8
2,34,808,2,6
2,33,272,2,4
1,32,983,2,8
1,53,3177,2,1
1,45,-258,5,6
1,40,669,3,2
1,45,121,11,1
1,43,62,3,3
1,39,34,3,6
2,31,208,7,22
1,53,0,1,3
0,32,948,2,3
1,42,2,9,5
2,41,169,2,1
1,35,913,2,12
2,27,0,2,1
1,34,1072,1,2
1,46,2149,2,4
1,46,1299,2,1
0,45,728,1,1
2,26,24,1,3
1,42,1519,1,4
1,69,0,2,3
2,30,799,1,11
1,42,36,3,11
1,30,631,3,4
1,35,286,2,15
1,38,536,1,4
2,27,265,2,18
2,39,202,1,0
2,27,538,2,2
2,49,-97,2,1
2,32,0,4,9
1,48,1981,3,4
1,31,0,2,0
1,36,789,1,1
1,34,455,1,1
2,18,108,1,2
2,47,77,4,1
1,39,350,2,3
1,44,624,2,9
1,42,505,2,8
1,56,3784,6,11
1,40,830,3,14
1,30,791,2,2
1,32,4465,2,2
1,51,0,4,3
2,33,718,1,2
1,36,1790,2,6
1,42,2913,1,11
0,38,5455,3,3
1,34,1,1,1
1,49,408,4,9
1,54,981,12,10
1,41,6596,1,1
1,59,3779,3,1
1,53,20772,1,11
1,45,786,3,1
2,41,28,1,0
1,56,284,4,2
2,51,516,1,6
0,38,155,26,0
1,33,-191,4,21
2,36,17,1,10
1,44,795,24,1
1,36,331,4,3
2,31,846,3,6
2,36,12264,2,2
2,25,292,2,17
1,51,95,4,21
1,38,775,3,30
2,32,6402,1,2
2,49,275,1,0
1,37,489,1,0
1,36,599,2,10
1,43,1429,1,17
1,49,2416,1,22
0,32,380,2,0
0,60,0,3,10
1,43,223,2,1
2,53,654,1,1
1,57,2261,1,16
2,45,410,4,14
1,33,177,1,1
1,56,2163,3,0
1,59,320,1,11
1,40,254,2,3
2,37,240,1,18
2,34,-72,5,4
2,27,535,1,2
0,47,-1730,3,2
1,32,1364,4,1
1,32,344,11,0
1,34,412,1,3
2,24,393,1,21
0,47,603,1,18
1,72,5715,5,18
2,34,2257,2,9
0,38,1190,4,5
1,61,86,1,10
1,44,0,2,11
2,31,2589,1,10
2,30,201,2,5
2,33,1522,1,16
1,46,1429,1,1
2,59,7724,3,6
1,32,3136,1,13
2,28,19,1,2
1,29,10576,2,20
0,61,927,3,7
1,36,203,1,4
1,37,41,3,6
1,46,38,1,9
1,35,8412,4,7
1,69,324,4,2
2,28,3623,1,4
1,33,1221,6,2
1,57,3123,1,2
2,31,13711,3,25
1,37,-106,1,11
1,60,0,3,2
2,35,422,1,2
1,56,693,5,1
1,45,1152,2,3
2,30,2143,10,8
1,34,1035,10,22
2,41,1081,3,3
2,32,566,1,1
1,34,142,1,7
2,29,560,1,7
1,38,-1007,1,1
1,35,867,3,3
2,44,-228,1,0
1,39,1742,6,2
1,57,169,1,6
2,31,26,1,1
1,59,-23,7,3
1,57,621,3,12
1,53,1624,3,2
1,46,346,1,6
2,26,1027,1,12
1,43,189,4,17
1,37,247,1,6
1,45,142,3,1
1,54,534,2,2
2,27,294,2,11
1,27,-393,2,3
2,30,3384,2,9
1,68,2812,1,10
1,30,107,1,4
1,56,3610,4,2
1,31,684,3,10
2,26,603,1,2
1,46,49,3,1
0,49,-403,2,8
1,24,867,10,9
2,27,50,1,2
1,51,2525,2,3
1,56,505,1,2
1,40,5,1,2
1,27,512,1,2
2,36,6450,1,1
1,37,2915,2,5
1,43,2576,2,2
0,33,661,1,6
1,38,37,1,1
1,37,0,1,3
2,30,136,1,2
1,43,108,4,7
1,65,2416,2,3
2,42,1364,6,31
2,35,2144,2,3
1,53,732,2,12
1,55,0,2,21
0,34,383,1,37
2,29,306,4,12
2,37,459,14,1
1,59,1085,4,1
2,22,216,1,6
1,31,314,3,22
1,51,4695,10,0
1,39,25,1,10
1,53,1356,2,6
1,37,1941,2,2
1,26,-285,1,4
1,34,320,1,5
1,36,2040,2,2
0,46,4917,2,0
1,59,100,1,18
0,38,4312,4,6
1,37,2987,1,1
0,54,200,1,2
0,36,5,1,2
1,38,46,4,1
1,49,180,3,6
1,34,46,1,6
1,34,320,1,6
2,34,161,1,6
1,36,11,3,2
1,52,-970,1,8
1,57,0,2,3
0,63,1490,1,8
1,43,774,1,8
2,38,-61,2,1
0,45,397,1,9
2,28,3611,2,2
1,64,466,1,8
0,47,2232,1,7
1,59,2605,2,1
2,32,15561,3,2
1,54,-165,1,3
1,39,3732,1,8
2,25,4718,1,11
1,52,25,3,2
1,38,6,4,1
1,33,3107,2,3
1,61,56,3,4
2,38,2885,10,23
1,36,630,1,4
1,50,5969,1,7
1,64,12067,2,6
1,35,46,3,5
1,51,241,2,5
2,43,3,3,15
1,36,521,3,5
1,47,1167,3,2
1,40,1293,3,28
1,56,-1206,2,6
2,22,1796,3,6
1,47,109,2,1
2,22,993,3,1
1,52,420,4,1
1,49,-327,1,7
2,22,722,1,1
2,30,-522,2,11
1,61,197,1,1
1,27,941,1,2
1,43,171,1,1
0,50,4204,2,5
1,55,2152,2,15
1,38,593,24,24
1,57,2266,1,5
1,43,-271,1,2
1,32,328,1,2
1,42,529,3,3
1,41,771,8,1
1,41,417,3,1
0,34,797,1,1
1,36,322,1,8
2,36,2169,2,2
1,43,400,3,4
2,24,172,1,1
1,56,3498,2,4
2,25,2305,2,3
2,31,1051,4,1
1,48,11516,8,6
1,59,1625,1,3
2,35,1017,2,0
1,46,78,1,2
1,47,866,7,0
2,29,874,1,2
0,52,-191,1,12
1,51,98,2,1
0,49,224,4,1
2,47,600,2,2
0,58,5253,4,2
0,37,3068,2,6
2,44,2167,1,21
2,32,0,2,4
2,31,1017,1,1
1,44,1818,1,8
1,50,290,2,0
1,38,3091,2,0
0,32,1288,1,4
2,31,-24,6,9
1,51,-286,1,1
1,38,0,38,0
1,29,5903,1,3
0,31,105,1,1
2,22,104,3,5
1,30,289,4,19
1,50,2218,1,11
2,30,3528,1,4
2,44,36,1,9
2,26,668,3,9
1,44,399,2,4
2,31,1588,1,0
1,58,-247,1,2
1,38,946,1,1
1,22,-295,2,2
0,51,1679,1,6
2,49,566,2,16
2,38,1727,2,2
1,56,0,1,2
1,42,3713,2,11
2,51,2139,2,2
0,35,1077,6,0
2,35,994,2,1
1,47,192,1,0
1,39,141,2,13
1,39,628,1,1
1,34,262,2,1
0,34,66,2,1
1,33,543,2,4
1,41,0,2,0
1,33,191,2,19
0,36,-435,8,1
1,62,780,2,2
2,29,231,1,2
2,33,1781,2,10
1,77,2223,2,6
2,26,101,1,13
1,53,665,2,6
1,51,7098,7,24
1,34,828,3,18
2,37,6964,3,3
1,30,501,1,16
1,32,187,1,1
1,47,863,2,15
2,38,895,1,25
1,52,150,3,2
2,32,133,1,2
1,36,74,2,2
1,58,1384,1,5
2,37,1894,1,32
1,33,920,1,2
2,34,13014,1,12
1,48,288,3,9
1,49,0,3,0
1,32,62,1,2
2,24,160,2,1
0,43,388,2,34
2,31,882,1,6
1,52,5517,2,2
1,34,391,2,0
1,52,1373,1,2
2,27,54,2,9
1,43,938,2,1
1,35,1116,1,2
1,34,0,1,1
1,28,12,1,3
1,36,4145,4,16
1,53,798,1,0
2,42,1628,8,9
1,51,2635,1,3
1,49,202,2,10
2,32,4262,1,4
1,41,149,1,0
0,32,211,4,3
1,38,980,5,11
1,39,-473,1,5
2,38,973,1,2
1,28,934,2,0
0,37,3834,1,1
1,59,-546,6,19
1,46,2817,1,9
2,25,1105,1,3
1,26,47,2,4
1,60,2769,2,1
0,79,631,5,7
1,59,4198,1,5
2,52,83,6,20
2,27,294,2,7
2,33,1170,1,5
0,33,990,2,24
2,28,-46,2,2
1,37,497,2,2
1,38,290,1,4
1,47,0,1,6
1,56,360,2,1
1,57,197,1,1
2,32,0,1,3
0,58,462,1,8
2,35,1183,3,0
1,44,1454,2,2
2,20,129,1,3
1,36,0,1,4
2,40,3840,2,3
2,27,2802,1,1
1,32,905,4,11
1,50,797,1,5
2,33,637,2,3
1,29,0,6,1
1,46,699,1,4
1,46,1267,2,3
2,39,15,1,8
2,27,299,7,0
1,54,836,1,5
2,34,-317,3,8
1,34,672,3,2
2,35,3636,1,3
1,59,4949,8,2
1,38,93,1,1
1,39,117,2,17
1,41,1385,1,2
1,55,1011,2,1
0,32,530,1,1
1,37,1315,1,3
1,43,95,1,4
1,24,-94,1,3
1,44,1206,3,3
1,35,7990,1,5
0,56,-216,1,5
1,29,26,1,0
1,45,3492,4,0
2,35,1880,1,2
0,41,2769,3,1
1,53,6112,1,3
1,44,3,1,3
1,48,-460,1,2
1,54,548,7,8
0,56,29,2,0
1,51,83,2,4
2,38,113,4,1
2,30,697,2,9
2,28,909,1,8
1,80,155,1,4
2,29,559,2,2
1,58,4348,4,13
1,50,546,6,1
1,30,776,2,14
1,33,525,1,8
1,54,8295,2,14
1,59,296,3,13
1,40,409,2,1
1,51,-799,3,16
2,34,151,1,9
1,41,246,3,11
1,40,395,4,3
2,34,10,3,5
2,30,-143,1,1
2,56,-40,1,5
0,42,19,4,14
0,42,685,4,3
2,37,2235,2,6
0,31,-452,5,3
1,47,-488,5,1
1,39,0,2,13
2,25,82,2,1
0,61,3624,1,5
2,28,437,1,5
2,48,1253,2,4
2,26,1646,5,14
2,54,3294,5,2
0,28,785,2,7
2,24,23878,1,2
2,29,158,2,4
0,52,280,5,6
1,37,121,4,5
1,46,499,10,0
1,29,723,1,3
2,36,129,1,2
0,53,587,1,9
1,56,3082,3,7
1,51,3942,3,6
1,36,2178,3,1
1,45,3493,1,8
1,51,61,20,0
1,30,-95,3,5
2,47,-213,1,2
1,26,2005,3,3
1,62,1084,1,8
1,37,630,1,5
1,43,3518,2,3
1,71,653,1,7
1,37,474,1,1
1,39,768,4,2
1,34,-436,1,5
0,45,594,2,13
1,30,14,2,1
2,30,2539,5,3
2,32,0,13,1
1,33,255,4,3
2,30,-172,4,4
1,53,421,1,11
2,55,92,3,1
1,44,1161,5,1
1,39,122,5,0
1,31,430,16,2
0,48,2071,1,2
1,55,1504,2,5
2,46,2739,4,1
0,31,294,5,8
2,37,62,2,7
1,56,1780,2,1
0,49,596,1,12
1,31,2294,2,8
2,32,654,4,10
1,43,1138,2,2
1,43,4216,2,2
1,52,167,1,2
1,38,3289,2,5
2,28,2351,1,2
1,47,206,1,2
1,36,494,3,1
1,34,592,1,0
1,32,227,2,2
2,30,694,1,9
1,33,2858,1,2
1,36,900,2,7
2,57,5768,1,8
1,44,1326,1,1
0,49,0,2,6
2,44,643,3,3
2,36,2646,1,2
2,28,78,2,9
2,29,41,2,2
1,45,5461,2,14
1,45,15515,2,2
2,32,438,5,5
1,45,488,11,1
1,52,7135,3,17
2,32,-55,1,10
1,49,403,2,4
0,53,281,2,2
1,53,-686,3,4
2,28,313,2,19
0,53,36,1,0
1,34,503,2,2
1,43,1109,3,1
2,22,1522,2,6
0,55,264,2,0
1,32,2349,5,2
2,72,1285,5,2
1,47,4693,1,1
1,34,-288,1,10
1,32,92,1,1
0,57,77,3,2
1,59,163,1,7
0,31,0,6,9
1,43,2271,1,8
1,47,458,1,1
2,42,625,3,10
2,29,1170,1,7
2,33,785,1,2
2,30,387,1,1
1,45,1134,4,1
1,42,576,1,2
2,26,1140,2,16
2,27,2486,1,12
1,58,307,2,4
0,51,21,17,0
1,44,-627,2,6
0,50,363,1,22
0,31,459,1,10
1,40,271,4,4
1,46,131,2,1
1,45,383,1,4
1,41,121,1,0
1,33,386,1,5
1,40,1841,4,14
1,58,826,1,14
1,42,1289,4,4
1,35,-229,1,2
1,49,2116,3,1
2,26,127,3,1
2,29,0,3,0
1,38,3234,2,9
1,51,0,2,2
1,60,3401,1,4
2,28,386,1,14
2,35,1129,2,1
2,35,196,1,5
1,52,994,2,1
1,47,2524,1,1
2,27,41,1,13
2,35,0,7,3
1,40,226,2,4
1,35,1987,3,5
2,30,163,3,3
1,42,-274,1,1
0,48,-130,2,1
1,47,2524,1,0
1,80,1021,1,0
1,36,3949,2,2
1,58,32948,2,6
2,30,315,3,14
1,26,144,1,12
1,59,2319,32,2
2,39,23,3,2
1,56,2333,1,4
2,38,508,2,18
1,29,3037,3,0
1,44,2979,5,0
1,31,1197,3,5
1,38,5839,2,16
1,36,722,2,4
1,40,72,3,1
1,34,7279,1,14
1,51,313,1,6
1,59,25947,2,4
2,23,431,3,3
1,45,849,1,1
1,62,1495,1,14
1,42,849,2,6
2,34,-90,1,0
1,39,-931,5,1
0,36,82,1,3
1,57,2785,4,10
0,58,1947,1,3
1,45,-485,2,2
0,49,1807,1,3
1,61,938,2,6
1,39,2245,2,12
2,36,1240,3,13
1,34,611,1,5
1,33,35,3,0
1,67,2540,5,4
2,29,523,1,5
2,31,882,1,4
1,37,655,2,2
1,36,413,1,1
0,73,2308,2,2
1,44,1422,8,2
1,41,665,3,2
1,27,802,1,9
0,29,0,1,6
1,37,1967,1,6
1,34,519,3,0
2,49,7443,5,4
2,32,3297,2,1
2,30,30,5,3
1,48,794,6,2
1,50,74,1,2
2,25,203,1,1
1,32,163,2,2
2,31,1815,1,1
1,36,6290,20,0
2,25,2354,1,1
1,34,3527,1,17
0,57,6468,4,11
0,73,3203,1,2
2,29,502,1,16
1,32,11591,1,0
1,38,-278,2,2
0,52,-309,2,8
2,34,7263,1,1
1,58,602,1,3
1,36,7343,1,1
1,38,1988,1,1
1,32,57,2,8
1,37,1978,1,6
2,29,-219,3,1
1,37,1506,3,1
1,59,3342,2,7
1,32,210,3,2
1,36,495,3,2
1,29,182,3,0
2,44,1424,2,3
1,33,-122,5,2
1,43,104,3,10
1,32,302,1,1
0,42,5037,6,1
2,27,37,3,2
2,35,80,2,7
1,54,154,3,2
1,73,448,1,1
1,34,-259,2,2
2,31,0,5,3
2,25,505,2,6
1,43,-476,1,0
1,52,1405,2,12
2,42,50,1,0
1,37,103,1,2
1,36,1368,1,8
1,64,2031,5,3
1,40,407,1,3
0,41,846,3,3
2,35,1693,1,8
2,29,3466,1,4
1,38,134,8,1
1,41,167,1,0
2,22,2488,2,7
1,58,1625,2,4
1,50,12519,3,10
2,34,-96,2,2
1,41,510,2,5
1,47,726,3,1
1,54,473,1,1
1,35,150,5,4
1,40,0,1,0
2,28,5679,4,11
1,52,1065,1,2
1,48,1730,1,6
0,55,77,6,7
1,32,169,2,4
1,40,-108,3,2
1,35,503,2,0
2,29,415,1,2
0,30,415,1,16
2,36,74,2,3
1,34,-106,1,3
1,60,0,1,19
0,50,149,1,1
2,25,1747,1,15
1,27,484,1,3
0,43,4478,1,2
1,55,0,1,0
1,37,345,1,1
1,58,76,2,2
2,34,2733,1,10
2,32,1649,2,3
2,29,464,2,3
0,70,6850,1,3
1,42,16517,5,9
2,33,4176,3,4
1,45,3689,1,6
0,39,-999,1,5
1,51,541,3,11
2,22,120,5,4
1,38,175,2,2
1,51,7180,1,15
2,30,732,4,23
0,38,19,2,10
1,50,558,1,7
1,42,1376,2,4
2,24,822,1,3
2,34,-200,5,4
0,55,35,4,2
1,39,568,3,2
1,51,684,1,1
2,23,91,2,6
1,31,367,17,1
0,36,69,2,1
1,37,9269,1,1
2,30,5359,1,7
1,38,1767,4,8
2,32,-34,1,1
2,32,41,5,11
1,53,1138,2,6
1,32,897,3,4
1,27,511,5,1
1,34,589,1,5
2,27,497,2,4
2,27,118,1,1
2,24,-73,2,0
1,56,1093,4,1
0,63,0,1,4
2,32,0,2,4
1,46,273,1,32
1,35,0,2,1
1,47,407,12,1
1,45,377,3,13
1,31,0,1,0
2,32,-23,1,3
1,34,0,4,1
1,46,11385,3,4
2,32,5514,1,5
1,27,897,1,6
2,31,533,1,6
1,31,335,1,3
1,37,4769,1,2
1,29,2312,3,1
1,29,1175,4,2
1,45,-406,2,4
1,57,403,1,10
0,39,3,1,8
2,26,8015,1,1
1,48,50,1,6
1,54,4080,1,2
1,37,88,1,3
1,31,1173,3,7
1,39,2198,1,6
1,35,13,2,1
2,35,4294,4,8
1,31,917,9,1
1,57,4168,1,0
1,41,2767,1,1
1,55,139,1,4
0,38,485,1,4
2,32,226,5,7
2,39,11971,10,1
1,42,300,1,1
0,75,37127,1,8
1,48,36686,1,4
1,38,1722,1,8
2,46,628,5,7
2,35,353,1,5
2,33,119,3,3
1,45,-75,1,2
1,56,171,2,10
1,36,255,6,4
2,35,510,6,1
1,41,2823,1,14
1,52,1524,6,16
1,34,1454,2,3
1,31,1664,1,2
1,64,661,2,6
1,46,0,13,5
1,69,482,1,7
1,32,6138,2,8
1,44,11972,1,2
1,57,334,2,2
2,27,1347,1,13
0,39,-271,1,6
1,30,503,1,1
1,33,570,1,1
1,42,849,1,11
1,30,475,5,3
1,31,120,1,16
1,58,37,11,1
2,24,82,2,3
1,39,2266,4,3
2,32,1855,2,2
2,29,163,1,13
0,47,178,1,4
1,43,0,8,8
1,38,1401,1,8
1,38,922,2,6
1,53,137,1,0
1,65,1624,2,3
1,33,-370,1,4
0,51,9,2,6
2,45,4831,11,7
1,34,1337,2,4
2,41,982,1,1
1,36,2012,7,3
1,31,28,2,2
2,30,364,2,5
2,28,2340,1,6
0,36,0,2,2
1,31,3283,5,1
1,37,408,9,0
2,48,580,2,3
2,32,2613,2,8
0,40,-426,1,4
1,47,1115,9,0
1,32,4885,2,6
1,57,0,2,3
1,63,5112,2,36
2,40,7968,1,12
1,37,604,1,6
2,28,4987,21,4
1,42,1978,4,1
1,61,3114,1,6
2,40,5,3,1
1,28,948,1,7
1,49,2139,1,4
0,53,-291,1,9
1,33,114,1,11
1,33,4570,2,20
1,57,625,1,14
1,34,559,1,0
1,42,294,1,8
1,59,474,1,4
2,32,1047,6,3
1,46,668,2,21
1,28,0,3,9
1,63,2352,7,7
1,48,1199,1,1
2,46,44,1,3
1,52,583,1,3
2,23,31,1,3
1,52,3163,6,0
1,43,642,2,10
1,30,309,2,26
1,40,-117,2,12
2,36,98,1,12
1,44,677,2,2
1,37,11303,2,8
2,21,1596,1,1
1,44,13761,1,1
2,31,1088,2,9
1,49,2611,2,3
2,30,631,1,1
1,44,503,2,10
1,34,21,1,5
1,71,2850,1,3
2,37,5436,11,0
1,44,282,2,11
1,28,330,1,5
2,28,-227,2,4
1,40,1538,2,6
1,33,2098,1,1
1,46,119,2,1
2,42,3445,3,27
1,55,55,17,0
2,36,-103,1,54
2,28,441,1,1
1,33,620,2,1
0,35,2885,3,3
1,47,-216,1,3
1,34,0,1,4
2,39,1457,1,7
1,53,5603,6,39
2,27,44,1,0
1,36,632,2,5
1,51,150,1,2
2,30,0,5,1
2,33,3770,2,12
2,33,61,3,13
2,33,658,1,5
2,30,61,5,2
1,29,87,3,22
1,37,1776,1,3
0,49,333,3,0
