@relation knn

@attribute Category numeric
@attribute Reviews numeric
@attribute Size numeric
@attribute Genres numeric

@data
4,70991,0,6
4,1002861,35,6
4,16589,9.1,6
4,148945,25,6
4,4458,3.9,6
4,62272,18,6
4,8941,12,6
4,46353,21,6
4,1279184,0,6
4,88073,0,6
4,67000,0,6
4,159872,0,6
4,30847,55,6
4,188841,3.2,6
4,11622,0,6
4,95912,0,6
4,4034,0,6
4,45964,16,6
4,14955,0,6
4,6903,14,6
4,31614,37,6
4,23055,0,6
4,19023,0,6
4,207372,11,6
4,1225,25,6
4,380837,7.3,6
4,10600,6.5,6
4,74359,25,6
4,822,3.1,6
4,80805,0,6
4,2287,1.5,6
4,4162,7.5,6
4,14760,8.6,6
4,23243,0,6
4,8978,0,6
4,80805,0,6
4,42492,0,6
4,286897,39,6
4,103755,14,6
4,46505,19,6
4,11442,6.8,6
4,10295,39,6
4,159872,0,6
4,296,14,6
4,29313,20,6
4,70991,0,6
4,51507,0,6
4,1802,26,6
4,1383,51,6
4,23175,41,6
4,5868,20,6
4,2111,0,6
4,5448,12,6
4,4159,48,6
4,20815,10,6
4,78662,22,6
4,7149,11,6
4,3079,8.5,6
4,5800,8.6,6
4,6989,0,6
4,16422,28,6
4,108741,28,6
4,31614,37,6
4,624,9,6
4,1661,46,6
4,97702,0,6
4,308,14,6
4,6989,0,6
4,5211,26,6
4,1058,23,6
4,78172,0,6
4,159872,0,6
4,296,14,6
4,29313,20,6
4,70991,0,6
4,51507,0,6
4,1802,26,6
4,1383,51,6
4,23175,41,6
4,5868,20,6
4,2111,0,6
4,5448,12,6
4,4159,48,6
4,20815,10,6
4,78662,22,6
4,7149,11,6
4,3079,8.5,6
4,5800,8.6,6
4,6989,0,6
4,16422,28,6
4,8978,0,6
4,80804,0,6
4,42492,0,6
4,286897,39,6
4,103755,14,6
4,46505,19,6
4,11442,6.8,6
4,10295,39,6
4,217730,0,6
4,1002859,35,6
4,51510,0,6
4,413,29,6
4,23175,41,6
5,1013635,0,7
5,24005,4.9,7
5,57106,27,7
5,2249,32,7
5,516,12,8
5,834,15,7
5,1010,11,7
5,238970,28,7
5,302,2.2,7
5,438,3.4,7
5,73,8.3,7
5,39,4.3,7
5,144,4.7,7
5,2181,10,7
5,93965,15,7
5,1446,7.1,7
5,12088,21,7
5,314,6.1,7
5,25671,0,7
5,15194,15,7
5,22551,11,7
5,29839,29,7
5,279,3.3,7
5,564387,0,7
5,1677,40,7
5,757,10,7
5,115,9.1,7
5,125,4.7,7
5,9952,38,7
5,18814,0,7
5,21,6.7,7
5,15,37,7
5,51981,0,7
5,3596,7.8,7
5,1006,19,7
5,5968,5.7,7
5,4895,35,7
6,56642847,0,9
6,69119316,0,9
6,125257,17,9
6,9642995,0,9
6,1429035,0,9
6,4604324,0,9
6,3419249,0,9
6,11334799,0,9
6,158679,8.8,9
6,3075028,0,9
6,4187998,16,9
6,659395,11,9
6,4785892,11,9
6,66602,0,9
6,30209,15,9
6,36901,6.6,9
6,5149854,0,9
6,192948,6.6,9
6,99559,0,9
6,437674,0,9
6,13698,5.1,9
6,2473509,0,9
6,20769,18,9
6,36880,4,9
6,171031,0,9
6,63543,0,9
6,45487,0,9
6,615381,37,9
6,2451083,0,9
6,33053,22,9
6,5387333,0,9
6,3648120,3.3,9
6,136662,32,9
6,42370,37,9
6,781810,0,9
6,3128250,0,9
6,2083237,0,9
6,541389,0,9
6,46702,0,9
6,2939,17,9
6,13761,0,9
6,258556,0,9
6,40751,35,9
6,17712922,40,9
6,25021,61,9
6,27187,66,9
6,69119316,0,9
6,56646578,0,9
6,4785988,11,9
6,122498,0,9
6,11334973,0,9
6,3419433,0,9
6,132014,25,9
6,83239,14,9
6,594728,0,9
6,5387446,0,9
6,10484169,0,9
6,3128509,0,9
6,2451093,0,9
6,171031,0,9
6,2876500,24,9
6,781810,0,9
6,28238,17,9
6,335646,8.3,9
6,350154,0,9
6,349384,8.2,9
6,346982,0,9
6,244863,0,9
6,10790289,0,9
6,330761,0,9
6,37320,8.4,9
6,12842860,0,9
6,2546527,0,9
6,36893,4,9
6,15880,32,9
6,346980,0,9
6,9643041,0,9
6,3075118,0,9
6,2264916,6.1,9
6,541389,0,9
6,2473693,0,9
6,42925,2.8,9
6,5150471,0,9
6,2511130,0,9
6,3648480,3.3,9
6,17714850,40,9
6,13100,2.2,9
6,27156,0,9
6,55098,4.3,9
6,1133501,4.7,9
6,12578,2.3,9
6,10965,2.3,9
6,18247,0,9
6,190613,11,9
6,125232,2.7,9
6,83239,14,9
6,11334973,0,9
6,72065,13,9
6,27540,3.7,9
6,104990,10,9
6,177703,13,9
6,17529,10,9
6,177263,13,9
6,237468,8.8,9
6,32254,5.5,9
6,483565,20,9
6,552441,29,9
6,60308,0,9
6,457283,0,9
6,93825,11,9
6,32283,0,9
6,15287,17,9
6,205739,17,9
6,14873,0,9
6,7820209,0,9
6,9498,0,9
6,4604483,0,9
6,4188142,16,9
6,88427,5.1,9
6,305218,0,9
6,183374,44,9
6,20901,7.3,9
6,122595,30,9
6,124346,0,9
6,837842,0,9
6,255,1.6,9
6,41420,19,9
6,44706,0,9
6,23707,0,9
6,3419513,0,9
6,4785988,11,9
6,594728,0,9
6,11335255,0,9
6,10484169,0,9
6,5387446,0,9
6,29208,23,9
6,191032,26,9
6,350154,0,9
6,244863,0,9
6,10790289,0,9
6,2546527,0,9
7,1545,0,10
7,57,6.2,10
7,2,17,10
7,516801,0,10
7,285726,15,10
7,76646,0,10
7,2556,56,10
7,7779,12,10
7,61637,11,10
7,12632,29,10
7,313724,0,10
7,48845,40,10
7,305708,0,10
7,31320,53,10
7,172460,3.1,10
7,4195,24,10
7,11633,23,10
7,10212,5,10
7,37053,44,10
7,667,27,10
7,13202,6.1,10
7,28671,0,10
7,1157,21,10
7,212626,11,10
7,222888,21,10
7,2067,24,10
7,1643,31,10
7,105,27,10
7,3414,6.2,10
7,42194,0,10
7,11806,12,10
7,1999,8,10
7,22544,5.9,10
7,97684,7.9,10
7,2519,5,10
7,1146,1.4,10
7,13046,13,10
7,17268,40,10
7,8722,13,10
7,953,19,10
7,2593,5,10
7,5377,19,10
7,852,27,10
7,212,3,10
7,1972,13,10
7,35206,7.2,10
7,5164,25,10
7,1939,0,10
7,277,5.7,10
7,80,5.5,10
7,825,0,10
7,40035,6.5,10
7,1093,5.8,10
7,135418,0,10
7,1601,3.8,10
7,2212,41,10
7,57081,7.9,10
7,241,2.8,10
7,63986,20,10
7,7888,15,10
7,535,28,10
7,5084,9.6,10
7,2430,13,10
7,285726,15,10
7,48845,40,10
7,2556,56,10
7,7779,12,10
7,837,9.4,10
7,12632,29,10
7,61637,11,10
7,5377,19,10
7,11633,23,10
7,313724,0,10
7,738,27,10
7,305708,0,10
7,953,19,10
7,4631,45,10
7,222888,21,10
7,17268,40,10
7,5164,25,10
7,4953,15,10
7,4195,24,10
7,28671,0,10
7,212626,11,10
7,1439,38,10
7,1645,31,10
7,13204,6.1,10
7,853,27,10
7,337,32,10
7,13049,13,10
7,51698,63,10
7,923,44,10
7,1546,0,10
7,149,16,10
7,198,28,10
7,135420,0,10
7,22545,5.9,10
7,8723,13,10
7,23170,9,10
7,13890,20,10
7,57083,7.9,10
7,537,28,10
7,13440,49,10
7,143,27,10
7,1059,18,10
7,894,14,10
7,6191,27,10
7,2212,41,10
7,15081,38,10
7,80,5.5,10
7,218,27,10
7,35205,7.2,10
7,243950,21,10
7,236,8.8,10
7,5152,38,10
7,1576,0,10
7,6701,11,10
7,40039,6.5,10
7,742,26,10
7,187,19,10
7,2506,6.1,10
7,182986,77,10
7,8661,9.5,10
7,8,14,10
7,59,38,10
7,35,16,10
7,28,3.4,10
7,125,4.7,10
7,185,5,10
7,6,4.9,10
7,110,4.9,10
7,3,3.9,10
7,5,4.4,10
7,84,4.5,10
7,2,70,10
7,20,4.9,10
7,776,4.9,10
7,2,16,10
7,14,21,10
7,1,9.2,10
7,5,9.3,10
7,18,5,10
7,6,5,10
7,5,5,10
7,1,5.5,10
7,11,11,10
7,3,25,10
7,101,15,10
7,120,10,10
7,24,4.9,10
7,6,9,10
7,4954,15,10
7,954,19,10
7,2560,56,10
7,59,38,10
7,10212,5,10
7,105,27,10
7,42197,0,10
7,28,3.4,10
7,6,4.9,10
7,5168,25,10
7,12633,29,10
7,41605,8.1,10
7,8,14,10
7,218,27,10
7,3,3.9,10
7,2433,13,10
7,185,5,10
7,80,5.5,10
7,35,16,10
7,5,14,10
7,125,4.7,10
7,791,3.7,10
7,110,4.9,10
7,5323,3.5,10
7,478,4.5,10
7,825,0,10
7,69,36,10
7,158,4.5,10
7,24,19,10
7,53,14,10
7,182986,77,10
7,1157,21,10
7,97699,7.9,10
8,6289924,0,11
8,181893,18,12
8,2544,18,12
8,85375,21,12
8,314299,3.3,12
8,9770,39,13
8,32346,3.2,12
8,4075,5.1,12
8,10611,11,12
8,9321,27,12
8,56065,37,12
8,14286,0,13
8,133136,26,11
8,2469,11,12
8,36212,0,14
8,390,41,11
8,1090,49,13
8,266948,21,12
8,342918,8.1,12
8,748,51,15
8,172640,14,12
8,61,18,12
8,1619,3,12
8,3168,19,12
8,29855,0,12
8,6736,22,12
8,7005,6.9,12
8,889,7.4,12
8,5741,84,16
8,27572,25,11
8,10852,18,12
8,9888,0,12
8,1929,2.5,12
8,1516,3.9,12
8,215301,0,12
8,423,21,12
8,254519,27,12
8,1107903,0,12
8,85375,21,12
8,181893,18,12
8,211856,0,12
8,99020,18,12
8,90481,0,12
8,32381,10,12
8,248912,0,12
8,248555,0,17
8,215301,0,12
8,272145,0,17
8,56897,97,17
8,8599,17,12
8,41185,0,12
8,29980,0,12
8,304,2,12
8,358,1.9,12
8,11904,1.8,12
8,22251,1.8,12
8,22384,17,12
8,99020,18,12
8,73404,5.3,12
8,12733,0,12
8,25183,5.4,12
8,52743,5.4,12
8,61749,5.4,12
8,55704,15,12
8,19277,5.3,12
8,13612,48,12
8,37862,5.4,12
8,18372,47,12
8,656,0,12
8,240,29,12
8,275,2.3,12
8,13791,0,12
8,3692,4.4,12
8,2363,6.6,12
8,1769,0,12
8,430,0,12
8,756,12,12
8,3963,0,12
8,316,29,12
8,642,0,12
8,1058,0,12
8,2277,0,12
8,85375,21,12
8,181893,18,12
8,6290507,0,11
8,211856,0,12
8,90481,0,12
8,99020,18,12
8,22384,17,12
8,32380,10,12
8,172505,76,11
8,69493,0,12
8,8599,17,12
8,1107884,0,12
8,41185,0,12
8,7973,18,12
8,266935,21,12
8,5695,0,12
8,142632,6.9,12
8,6290507,0,11
8,55256,14,12
8,172508,76,11
8,54798,11,12
8,4815,19,12
8,75112,6.5,12
8,33646,7,12
8,1107903,0,12
8,314300,3.3,12
8,206527,21,12
8,9348,0,12
8,3816,2.6,12
8,47847,21,12
8,16195,5.2,12
8,206,18,12
8,28392,0,12
8,3241,16,12
8,835,15,12
8,2525,1.2,12
8,828,0,12
8,211856,0,12
8,200058,18,12
8,1239,1.8,12
8,702,7.6,12
8,108613,0,12
8,69498,0,12
8,148550,59,11
8,6290507,0,11
8,3847,6.9,12
8,55256,14,12
8,84309,41,12
8,4815,19,12
8,172508,76,11
8,1107948,0,12
8,266948,21,12
8,14206,21,12
8,206532,21,12
8,9348,0,12
8,14700,21,12
8,42828,0,12
8,40209,0,12
8,37862,5.4,12
8,1405,7.3,12
8,69498,0,12
8,148549,59,11
8,84311,41,12
8,211856,0,12
8,206532,21,12
8,172508,76,11
8,256079,7.6,12
8,2078,0,11
8,16103,13,12
8,11,63,16
8,21,44,11
8,31085,24,16
8,3528,24,16
9,5456208,0,18
9,11656,4.5,18
9,28948,0,18
9,296771,11,18
9,470089,0,19
9,10939,4.6,18
9,98509,0,18
9,5241,0,18
9,22508,3.3,18
9,10291,6.5,18
9,7165362,0,18
9,4885646,0,18
9,141980,0,18
9,6979,12,18
9,46618,0,18
9,103078,5.6,18
9,17682,9.7,18
9,37000,15,18
9,175528,0,18
9,1828284,52,18
9,34923,0,18
9,684116,0,18
9,46916,4.5,18
9,407698,0,18
9,702975,49,18
9,32458,18,18
9,235496,13,20
9,11661,4,18
9,653008,16,18
9,23063,17,20
9,87384,0,18
9,411683,24,18
9,8918,0,21
9,501498,12,18
9,2133296,0,18
9,29690,78,18
9,130549,0,18
9,613059,25,18
9,1633682,57,18
9,42050,0,18
9,2646,9.1,18
9,21867,39,18
9,32732,0,18
9,653008,16,18
9,243747,0,18
9,2639,8.5,18
9,1511,12,18
9,44550,72,18
9,501497,12,18
9,5456208,0,18
9,7813,0,18
9,1033,16,18
9,2442,9.6,18
9,15254,0,18
9,155234,22,18
9,310066,0,18
9,12216,13,18
9,388089,0,18
9,92058,12,18
9,88185,0,18
9,493,23,18
9,33387,20,18
9,123279,25,19
9,27424,17,18
9,60841,0,18
9,29706,19,18
9,288150,21,18
9,14807,19,18
9,319692,0,18
9,61201,0,18
9,22998,0,18
9,12398,0,18
9,35928,19,18
9,64448,4.4,18
9,22378,19,18
9,501498,12,18
9,5456599,0,18
9,296829,11,18
9,310095,0,18
9,88185,0,18
9,388089,0,18
9,92058,12,18
9,123279,25,19
9,319691,0,18
9,60841,0,18
9,288150,21,18
9,16372,13,18
9,58028,17,18
9,33387,20,18
9,61201,0,18
9,736864,20,18
9,29706,19,18
9,27424,17,18
9,1968,21,19
9,35279,15,18
9,35931,19,18
9,14807,19,18
9,17247,7.2,19
9,87723,32,18
9,18523,0,18
9,182103,0,19
9,197774,44,18
9,8674,19,18
9,5456708,0,18
9,296771,11,18
9,58082,0,18
9,388089,0,18
9,310066,0,18
9,123279,25,19
9,88185,0,18
9,319691,0,18
9,7813,0,18
9,60841,0,18
9,653008,16,18
9,27424,0,18
9,33387,20,18
9,407719,0,18
9,288150,21,18
9,115033,30,18
9,22997,0,18
9,61201,0,18
9,801,57,18
9,29706,19,18
9,27424,17,18
9,12398,0,18
9,35279,15,18
9,35931,19,18
9,22378,19,18
9,14807,19,18
9,197774,44,18
9,8674,19,18
9,8968,35,19
9,303,44,18
9,407719,0,18
9,732,0,19
9,1856,20,18
9,50725,19,18
9,123279,25,19
9,243747,0,18
9,1575,43,18
9,6238,0,18
9,9941,0,18
9,23666,3.6,18
9,67554,7.7,18
9,38769,44,18
9,160164,12,18
9,3771,53,18
9,256664,77,18
9,787177,0,18
10,3782,9.5,22
10,40113,36,22
10,7074,6.3,22
10,2153,5.9,22
10,26089,0,22
10,20611,12,22
10,811,2.8,22
10,15558,26,22
10,573,8.7,22
10,8232,53,22
10,3089,0,22
10,3874,14,22
10,464,8.9,22
10,731,11,22
10,69,0,22
10,8800,24,22
10,99,13,22
10,30,0,22
10,456,2.8,22
10,3200,0,22
10,5839,3.5,22
10,4,61,22
10,663,6,22
10,16,2.3,22
10,1065,9,22
10,1953,0,22
10,12,29,22
10,4298,4.4,22
10,1,21,22
10,100,27,22
10,399,24,22
10,28,6.3,22
10,7,3.8,22
11,124424,0,23
11,39041,0,23
11,52306,42,23
11,36718,0,23
11,42644,19,23
11,278082,70,23
11,6076,32,23
11,112656,93,23
11,335738,0,23
11,31906,0,23
11,20672,0,23
11,957973,40,23
11,130582,24,23
11,31218,0,23
11,167168,20,23
11,34428,15,23
11,15247,28,23
11,48445,10,23
11,35518,0,23
11,12185,0,23
11,36746,0,23
11,21996,14,23
11,138371,0,23
11,12073,42,23
11,111632,65,23
11,250706,37,23
11,706301,0,23
11,64959,39,23
11,659741,47,23
11,510392,79,23
11,7215,18,23
11,25508,0,23
11,60449,100,23
11,381788,32,23
11,10697,46,23
11,347838,0,23
11,31804,9.8,23
11,3856,8.2,23
11,199684,18,23
11,44545,0,23
11,1336246,39,23
11,257,44,23
11,57493,0,23
11,283,5,23
11,12304,21,23
11,8188,22,23
11,11919,23,23
11,45957,0,23
11,347838,0,23
11,126431,0,23
11,21570,27,23
11,134564,0,23
11,283,5,23
11,16961,32,23
11,111254,7.4,23
11,7731,24,23
11,5928,22,23
11,15703,0,23
11,6148,10,23
11,861,17,23
11,8662,38,23
11,23130,46,23
11,69973,3.8,23
11,1311,9.3,23
11,26587,8.4,23
11,2417,28,23
11,706302,0,23
11,1054,9.7,23
11,25166,11,23
11,129304,0,23
11,19870,7.4,23
11,3596,19,23
11,161440,16,23
11,7514,14,23
11,46106,22,23
11,15141,25,23
11,714,3.6,23
11,42410,0,23
11,260547,0,23
11,4344,4.5,23
11,22808,0,23
11,42809,23,23
11,16808,0,23
11,157505,0,23
11,24647,0,23
11,1922,4.2,23
11,3334,0,23
11,10658,58,23
11,57493,0,23
11,78361,22,23
11,2594,0,23
11,13868,1.4,23
11,135952,0,23
11,11066,9.1,23
11,8188,22,23
11,45962,0,23
11,34861,0,23
11,37580,0,23
11,281485,0,23
11,685,21,23
11,126447,0,23
11,129304,0,23
11,3780,11,23
11,15192,38,23
11,5950,12,23
11,15993,45,23
11,5905,50,23
11,7731,24,23
11,659760,47,23
11,14627,23,23
11,1098,46,23
11,2898,45,23
11,70782,50,23
11,11264,24,23
11,100997,33,23
11,347874,0,23
11,3290,12,23
11,341090,53,23
11,964,14,23
11,87951,68,23
11,250719,37,23
11,510401,79,23
11,24729,32,23
11,78306,46,23
11,43313,40,23
11,1374549,32,23
11,208463,0,23
11,6998,24,23
12,145323,42,24
12,64784,13,24
12,32997,13,24
12,2707,8.9,24
12,129737,0,24
12,611136,19,24
12,6118,0,24
12,2473,14,24
12,109784,64,24
12,3320,8.4,24
12,61,11,24
12,68103,66,24
12,8412,0,24
12,10741,41,24
12,3803,15,24
12,155944,35,24
12,10159,36,24
12,28008,17,24
12,43614,25,24
12,455377,35,24
12,1398,10,24
12,1032935,0,24
12,32405,12,24
12,151080,0,24
12,22513,11,24
12,90042,0,24
12,58316,0,24
12,8509,17,24
12,19314,43,24
12,21314,41,24
12,30224,0,24
12,731,43,24
12,454,16,24
12,14952,39,24
12,1250,13,24
12,1726,30,24
12,14065,7.1,24
12,556,23,24
12,4925,17,24
12,6507,18,24
12,11707,0,24
12,1077,17,24
12,46539,0,24
12,9066,15,24
12,1962,22,24
12,22071,0,24
12,196,9,24
12,278,7.2,24
12,61881,0,24
12,2129,0,24
12,1268,2.3,24
12,91359,27,24
12,22015,0,24
12,131569,8.2,24
12,31986,76,24
12,22875,22,24
12,17071,0,24
12,90242,19,24
12,483960,0,24
12,511228,0,24
12,464,28,24
12,155944,35,24
12,1920,0,24
12,22875,22,24
12,1032935,0,24
12,40116,0,24
12,51517,0,24
12,7690,25,24
12,321134,30,24
12,3755,8.5,24
12,104504,0,24
12,28009,17,24
12,333208,34,24
12,35218,34,24
12,116403,0,24
12,37517,17,24
12,292969,16,24
12,511420,0,24
13,428156,15,25
13,1577,2.2,25
13,38098,11,25
13,31139,6.9,25
13,272337,13,25
13,220125,11,25
13,400592,2.9,25
13,20098,25,25
13,117925,7,25
13,548021,27,25
13,48276,7.5,25
13,471036,0,25
13,12705,15,25
13,706,9.4,25
13,465,6.4,25
13,644,5.5,25
13,6238,3.9,25
13,144040,55,25
13,51227,28,25
13,357417,0,25
13,199,8.8,25
13,827597,0,25
13,9116,4,25
13,2071,6.9,25
13,50294,11,25
13,708674,0,25
13,1140,5.5,25
13,232153,0,25
13,14709,15,25
13,12029,4.3,25
13,1873516,0,25
13,2880,7.1,25
13,270267,58,25
13,559186,0,25
13,77777,0,25
13,8642,18,25
13,501144,0,25
13,1861,1.5,25
13,1203,6.5,25
13,299,11,25
13,115721,67,25
13,14810,0,25
13,183662,57,25
13,27393,59,25
13,10445,48,25
13,49479,57,25
13,4848,13,25
13,20812,0,25
13,328469,0,25
13,100406,0,25
13,205299,31,25
13,66791,10,25
13,183669,57,25
13,399009,0,25
13,5420,21,25
13,130104,25,25
13,251534,93,25
13,28951,60,25
13,60096,27,25
13,106547,54,25
13,134195,0,25
13,249855,0,25
13,27396,59,25
13,708710,0,25
13,109756,78,25
13,38343,55,25
13,190247,0,25
13,827651,0,25
13,115721,67,25
13,75571,0,25
13,70769,35,25
13,2107,0,25
13,26540,43,25
13,1608,39,25
13,19074,4.2,25
13,7976,44,25
13,7586,45,25
13,2885,0,25
13,48226,28,25
13,1026,29,25
13,28945,12,25
13,11506,15,25
13,1288,31,25
13,6826,0,25
13,111450,0,25
13,19543,0,25
13,233243,0,25
13,11689,20,25
13,77563,39,25
13,5499,94,25
13,70769,35,25
13,2107,0,25
13,48286,0,25
13,26652,41,25
13,71269,49,25
13,20301,22,25
13,93691,0,25
13,56145,23,25
13,20326,28,25
13,12955,7.2,25
13,2681,6.5,25
13,325738,0,25
13,4102,24,25
13,40296,0,25
13,4559407,0,25
13,570242,20,25
13,1873523,0,25
13,121838,15,25
13,62616,0,25
13,12858,55,25
13,34356,0,25
13,50679,38,25
13,16943,32,25
13,524299,0,25
13,267,0,25
13,623,40,25
13,27396,59,25
13,708710,0,25
13,75571,0,25
13,117176,0,25
13,70416,23,25
13,15674,6.1,25
13,14402,0,25
13,270294,58,25
13,144050,55,25
13,100406,0,25
13,141163,0,25
13,183669,57,25
13,251534,93,25
13,28951,60,25
13,1873520,0,25
13,559262,0,25
13,501144,0,25
13,708753,0,25
13,69395,0,25
13,827653,0,25
13,27439,19,25
13,2490,3.8,25
13,24094,18,25
13,18539,57,25
13,3061,5.5,25
13,229210,0,25
13,20547,5.7,25
13,3405,51,25
13,217,9.4,25
13,7895,3.3,25
13,32606,0,25
13,1324,4,25
13,1873520,0,25
13,69395,0,25
13,27439,19,25
13,2490,3.8,25
13,126017,4.3,25
13,24094,18,25
13,20547,5.7,25
13,229214,0,25
13,2469,3.6,25
13,3061,5.5,25
13,18539,57,25
13,3405,51,25
13,270294,58,25
13,32606,0,25
13,217,9.4,25
13,7895,3.3,25
13,1324,4,25
13,1873523,0,25
13,69395,0,25
13,14394,9.9,25
13,26540,43,25
13,1812,37,25
13,13724,0,25
13,10253,0,25
13,4642,40,25
13,16570,73,25
13,48226,28,25
13,20161,0,25
13,2894,23,25
13,5038,10,25
13,11506,15,25
13,31665,8.4,25
13,205299,31,25
13,13799,0,25
13,111455,0,25
13,111462,0,25
13,57634,41,25
13,233243,0,25
13,8576,0,25
13,11689,20,25
13,77563,39,25
13,70769,35,25
14,417907,34,26
14,3167,7.5,26
14,27386,0,26
14,162243,12,26
14,65913,7.7,26
14,24977,21,26
14,6000,18,26
14,37711,40,26
14,175293,0,26
14,353799,0,26
14,2758,8.6,26
14,1437,0,26
14,7573,18,26
14,8481,7.5,26
14,10054,9.1,26
14,10117,13,26
14,39189,0,26
14,3522,15,26
14,71419,0,26
14,36857,19,26
14,39123,0,26
14,14653,0,26
14,23013,26,26
14,114,8.3,26
14,287,27,26
14,4435,7.9,26
14,43800,0,26
14,4281,27,26
14,7508,5.1,26
14,491,15,26
14,22584,16,26
14,4087,9.2,26
14,2496,0,26
14,103305,0,26
14,2669,10,26
14,7619,13,26
14,126,1.9,26
14,273,7,26
14,2248,15,26
14,809,7.8,26
14,3280,77,26
14,1478,5.7,26
14,2382,5.9,26
14,4450,7.6,26
14,515,5.8,26
14,353800,0,26
14,4465,5.8,26
14,2427,5.3,26
14,6631,5.5,26
14,11200,25,26
14,6896,35,26
14,4435,7.9,26
14,36857,19,26
14,8481,7.5,26
14,162243,12,26
14,175293,0,26
14,417907,34,26
14,3834,30,26
14,27387,0,26
14,71421,0,26
14,22584,16,26
14,353813,0,26
14,81,16,26
15,2087,0,27
15,58,15,27
15,3014,21,27
15,923,4.3,27
15,67007,0,27
15,539,99,27
15,126862,0,27
15,48,6.9,27
15,1465,7,27
15,929,7,27
15,783,6.4,27
15,2907,0,27
15,434,16,27
15,411,95,27
15,237,0,27
15,2580,20,27
15,130272,50,27
15,130,12,27
15,7396,22,27
15,58055,0,27
15,1703,22,27
15,7750,0,27
15,6,5.5,27
15,12657,0,27
15,26,2.5,27
15,1919,8.1,27
15,60170,28,27
15,831,24,27
15,8671,3.1,27
15,20145,0,27
15,912,13,27
15,2639,19,27
15,399,9.5,27
15,3945,9.4,27
15,3781,36,27
15,1267,55,27
16,18968,32,28
16,47497,34,28
16,601,5.1,28
16,140995,100,29
16,51357,80,28
16,13565,3.3,28
16,39364,28,28
16,7287,5,28
16,161143,11,28
16,16168,55,28
16,100,7.1,28
16,116079,3.2,28
16,815893,4.4,28
